ichthyology,	study of fish
incubate,	hatch; scheme
incumbent,	officeholder
incur,	bring upon oneself
incursion,	temporary invasion
indefatigable,	tireless
indemnify,	make secure against loss; compensate loss
indenture,	bind as a servant or apprentice to master
indicative,	suggestive; implying
indict,	charge
indifferent,	unmoved; lacking concern
indigenous,	native
indigent,	poor
indignation,	anger at an injustice
indignity,	offensive or insulting treatment
indiscriminate,	choosing at random; confused
indisputable,	too certain to be disputed
indissoluble,	permanent
indolent,	lazy
indomitable,	unconquerable
indubitably,	beyond a doubt
induce,	persuade; bring about
inductive,	pertaining to induction or proceeding from the specific to the general
indulgent,	humoring; yielding; lenient
inebriety,	habitual intoxication
ineffable,	unutterable; cannot be expressed in speech
ineffectual,	not effective; weak
inept,	unsuited; absurd; incompetent
inequity,	unfairness
inert,	inactive; lacking power to move
inertia,	state of being inert or indisposed to move
inevitable,	unavoidable
inexorable,	relentless; unyielding; implacable
infallible,	unerring
infamous,	notoriously bad
infantile,	childish; infantile
infer,	deduce; conclude
inference,	conclusion drawn from data
infernal,	pertaining to hell; devilish
informal,	lacking ceremony; casual
infidel,	unbeliever
infiltrate,	pass into or through; penetrate (an organization) sneakily
infinitesimal,	very small
infirmity,	weakness
inflated,	exaggerated
influx,	flowing into
infraction,	violation
infringe,	violate; encroach
ingenious,	clever
ingenue,	an artless girl; an actress who plays such parts
ingenious,	naïve; young; unsophisticated
ingrate,	ungrateful person
ingratiate,	become poplar with
inherent,	firmly established by nature or habit
inhibit,	prohibit; restrain
inimical,	unfriendly; hostile
inimitable,	matchless; not able to be imitated
iniquitous,	unjust; wrong
initiate,	begin; originate; receive into a group
injurious,	harmful
inkling,	hint
innate,	inborn
innocuous,	harmless
innovation,	change; introduction of something new
innuendo,	hint; inspiration
inopportune,	untimely; poorly chosen
inordinate,	unrestrained; excessive
insatiable,	not easily satisfied; greedy
inscrutable,	incomprehensive; not to be discovered
insensate,	without feeling
insensible,	unconscious; unreasonable
insidious,	treacherous; stealthy; sly
insinuate,	hint; imply
insipid,	tasteless; dull
insolent,	haughty and contemptuous
insolvent,	bankrupt; lacking money to pay
insomnia,	wakefulness; inability to sleep
instigate,	urge; start; provoke
insubordinate,	disobedient
insularity,	narrow-mindedness; isolation
insuperable,	insurmountable; invincible
insurgent,	rebellious
insurrection,	rebellion; uprising
intangible,	not material; not able to be perceived by touch
integral,	complete; necessary for completeness
integrate,	make whole; combine; make into one unit
integrity,	wholeness; purify; uprightness
intellect,	higher mental powers
intelligentsia,	the intelligent and educated classes [often used derogatory]
inter,	bury
interdict,	prohibit; forbid
interim,	meantime
interloper,	intruder
interment,	burial
interminable,	endless
intermittent,	periodic; on and off
internecine,	mutually destructive
interpolate,	insert between
intervene,	come between
intimate,	hint
intimidation,	fear
intractable,	unruly; refractory
intransigent,	refusing any compromise; stubborn
intrepid,	fearless
intricate,	complex; knotty; tangled
intrinsically,	essentially; inherently; naturally
introspective,	locking within oneself
introvert,	one who is introspective; inclined to think more about oneself
intrude,	trespass; enter as uninvited person
intuition,	power of knowing without reasoning
inundate,	overflow; flood
inured,	accustomed; hardened
invalidate,	weaken; destroy
invective,	abuse
inveigh,	denounce; utter censure or invective
inveigle,	lead astray; wheedle
inverse,	opposite
invert,	turn upside down or inside out
inveterate,	deep-rooted; habitual
invidious,	designed to create ill will or envy
invincible,	unconquerable
inviolability,	security from being destroyed; corrupted or profaned
invoke,	call upon; ask for
invulnerable,	incapable of injury
iota,	very small quantity
irascible,	irritable; easily angered
irate,	angry
iridescent,	exhibiting rainbowlike colors
irksome,	annoying; tedious
ironic,	resulting in unexpected and contrary manner
irony,	hidden sarcasm or satire; use of words that convey a meaning opposite to the literal meaning
irrational,	illogical; lacking reason; insane
irreconcilable,	incompatible; not able to be resolved
irrelevant,	not applicable; unrelated
irremediable,	incurable; uncorrectable
irreparable,	not able to be corrected or repaired
irrepressible,	unable to be restrained or held back
irresolute,	uncertain how to act; weak
irreverence,	lack of proper aspect
irrevocable,	unalterable
isotope,	varying form of an element
itinerant,	wandering; traveling
itinerary,	plan of a trip
	
